index,co2,humidity,temperature,seat_num,y,prediction_label
20380,628.0,22.399999618530273,27.399999618530273,56,0.30000001192092896,0.4925000086426735
20381,489.0,25.299999237060547,25.0,56,0.0,0.0
20382,813.0,26.100000381469727,27.200000762939453,183,0.5,0.5
20383,1204.0,29.799999237060547,28.700000762939453,56,1.0,0.9969999998807907
20384,921.0,25.100000381469727,27.399999618530273,80,0.0,0.0
20385,679.0,19.700000762939453,26.799999237060547,80,0.0,0.0
20386,801.0,41.70000076293945,25.399999618530273,56,1.0,1.0
20387,837.0,31.700000762939453,24.5,56,0.0,0.0
20388,711.0,33.400001525878906,27.200000762939453,183,0.0,0.0
20389,541.0,32.400001525878906,28.0,80,0.0,0.0
20390,934.0,41.900001525878906,24.5,56,1.0,1.0
20391,858.0,28.700000762939453,26.299999237060547,183,0.0,0.0
20392,556.0,24.399999618530273,25.899999618530273,183,0.0,0.0
20393,758.0,30.399999618530273,24.100000381469727,56,0.0,0.0
20394,933.0,28.799999237060547,26.299999237060547,56,1.0,1.0
20395,583.0,44.70000076293945,25.600000381469727,56,0.0,0.0
20396,574.0,33.400001525878906,27.799999237060547,80,0.0,0.0
20397,605.0,28.700000762939453,26.399999618530273,80,0.0,0.0
20398,680.0,34.099998474121094,26.600000381469727,80,0.0,0.0
20399,817.0,24.399999618530273,25.799999237060547,56,0.0,0.0
20400,690.0,38.599998474121094,25.0,183,1.0,1.0
20401,791.0,43.0,26.200000762939453,183,0.0,0.0
20402,799.0,24.600000381469727,25.600000381469727,56,0.0,0.0
20403,752.0,26.600000381469727,27.5,80,0.0,0.0
20404,968.0,35.5,26.799999237060547,183,0.0,0.0
20405,774.0,21.0,26.399999618530273,80,0.0,0.0
20406,880.0,26.100000381469727,27.600000381469727,80,0.0,0.0
20407,718.0,20.399999618530273,26.600000381469727,80,0.0,0.0
20408,767.0,30.600000381469727,27.100000381469727,183,0.0,0.0
20409,882.0,23.299999237060547,27.600000381469727,56,0.5,0.5586666631698608
20410,555.0,36.29999923706055,28.0,80,0.0,0.0
20411,951.0,43.599998474121094,26.700000762939453,56,1.0,1.0
20412,785.0,34.900001525878906,26.600000381469727,56,1.0,0.6500000059604645
20413,585.0,44.70000076293945,25.600000381469727,56,0.0,0.0
20414,769.0,37.599998474121094,26.0,183,0.0,0.0
20415,808.0,23.100000381469727,27.399999618530273,183,0.5,0.5
20416,690.0,21.600000381469727,26.799999237060547,80,0.0,0.0
20417,966.0,45.79999923706055,25.899999618530273,183,0.0,0.0
20418,922.0,27.399999618530273,27.299999237060547,183,1.0,1.0
20419,1016.0,26.299999237060547,27.700000762939453,80,0.0,0.0
20420,783.0,37.599998474121094,26.0,183,0.0,0.0
20421,1075.0,43.5,27.299999237060547,56,1.0,1.0
20422,1062.0,26.299999237060547,27.700000762939453,80,0.0,0.0
20423,560.0,33.20000076293945,26.0,56,0.0,0.0
20424,1028.0,43.5,27.200000762939453,56,1.0,0.9969999998807907
20425,528.0,30.700000762939453,26.299999237060547,56,1.0,1.0
20426,558.0,36.400001525878906,28.0,80,0.0,0.0
20427,899.0,23.600000381469727,26.899999618530273,56,0.5,0.5
20428,667.0,40.0,27.200000762939453,183,1.0,1.0
20429,874.0,45.0,25.600000381469727,56,0.0,0.01300000011920929
20430,582.0,29.600000381469727,28.5,80,0.0,0.0
20431,865.0,28.600000381469727,26.399999618530273,183,0.0,0.0
20432,716.0,42.900001525878906,25.799999237060547,183,0.0,0.0
20433,870.0,32.0,24.399999618530273,56,0.0,0.0
20434,537.0,38.0,27.5,80,0.0,0.0
20435,602.0,34.400001525878906,26.299999237060547,56,1.0,1.0
20436,916.0,29.100000381469727,27.899999618530273,56,0.5,0.5
20437,1007.0,27.600000381469727,27.5,183,1.0,1.0
20438,938.0,33.400001525878906,27.399999618530273,183,0.0,0.0
20439,880.0,45.0,25.600000381469727,56,0.0,0.06
20440,927.0,27.399999618530273,27.299999237060547,183,1.0,1.0
20441,814.0,25.899999618530273,27.399999618530273,80,0.0,0.0
20442,528.0,27.100000381469727,25.299999237060547,56,0.0,0.0
20443,860.0,44.29999923706055,25.799999237060547,56,1.0,1.0
20444,483.0,24.299999237060547,24.600000381469727,56,0.0,0.0
20445,629.0,25.0,27.0,80,0.699999988079071,0.6959999883174897
20446,623.0,25.100000381469727,27.700000762939453,80,0.699999988079071,0.6979999881982804
20447,761.0,25.700000762939453,27.299999237060547,80,0.0,0.0
20448,545.0,23.299999237060547,25.899999618530273,56,1.0,0.96
20449,672.0,34.599998474121094,25.100000381469727,183,0.0,0.0
20450,630.0,25.200000762939453,27.0,80,0.699999988079071,0.699999988079071
20451,620.0,26.100000381469727,27.700000762939453,80,0.0,0.00699999988079071
20452,653.0,40.400001525878906,26.799999237060547,183,1.0,1.0
20453,1004.0,43.900001525878906,23.799999237060547,56,1.0,1.0
20454,815.0,25.5,27.299999237060547,183,0.30000001192092896,0.4800000011920929
20455,835.0,41.20000076293945,25.5,56,1.0,0.99
20456,692.0,25.799999237060547,26.799999237060547,56,0.30000001192092896,0.3110000115633011
20457,757.0,22.700000762939453,26.399999618530273,56,0.5,0.5
20458,566.0,30.700000762939453,26.0,56,0.0,0.01699999988079071
20459,548.0,32.5,28.399999618530273,80,0.0,0.0
20460,937.0,39.79999923706055,25.200000762939453,56,1.0,1.0
20461,731.0,25.600000381469727,27.200000762939453,80,0.0,0.0
20462,737.0,20.600000381469727,26.600000381469727,80,0.0,0.0
20463,791.0,45.0,25.700000762939453,183,0.0,0.0
20464,787.0,29.299999237060547,27.0,80,0.0,0.0
20465,761.0,30.799999237060547,24.0,56,0.0,0.0
20466,587.0,25.700000762939453,25.799999237060547,56,0.0,0.0
20467,893.0,35.20000076293945,28.0,80,0.0,0.0
20468,535.0,32.5,28.299999237060547,80,0.0,0.0
20469,593.0,31.600000381469727,23.899999618530273,56,0.0,0.0
20470,983.0,43.70000076293945,23.799999237060547,56,1.0,1.0
20471,1245.0,28.799999237060547,28.700000762939453,56,0.0,0.0
20472,564.0,24.5,26.100000381469727,183,0.0,0.0
20473,675.0,34.599998474121094,25.100000381469727,183,0.0,0.0
20474,604.0,31.100000381469727,25.700000762939453,183,0.0,0.0
20475,924.0,28.799999237060547,27.200000762939453,183,1.0,1.0
20476,832.0,24.200000762939453,27.700000762939453,183,0.5,0.5
20477,592.0,31.299999237060547,23.899999618530273,56,0.0,0.0
20478,837.0,36.900001525878906,26.200000762939453,183,0.0,0.0
20479,557.0,24.5,26.0,183,0.0,0.0
20480,668.0,22.200000762939453,26.399999618530273,183,0.0,0.0
20481,854.0,36.70000076293945,26.200000762939453,183,0.0,0.0
20482,925.0,37.900001525878906,24.5,56,0.699999988079071,0.699999988079071
20483,661.0,44.400001525878906,26.0,56,0.0,0.0
20484,537.0,38.20000076293945,27.299999237060547,80,0.0,0.0
20485,595.0,20.100000381469727,26.299999237060547,80,0.30000001192092896,0.30000001192092896
20486,688.0,28.299999237060547,27.100000381469727,80,0.0,0.0
20487,825.0,27.0,27.200000762939453,183,0.30000001192092896,0.3060000115633011
20488,866.0,36.599998474121094,26.200000762939453,183,0.0,0.0
20489,1615.0,32.599998474121094,28.600000381469727,56,1.0,1.0
20490,649.0,32.0,26.299999237060547,183,0.0,0.0
20491,679.0,33.29999923706055,26.200000762939453,56,1.0,0.9520000004768372
20492,699.0,37.20000076293945,26.0,56,1.0,0.18
20493,612.0,22.399999618530273,25.700000762939453,183,0.0,0.0
20494,1046.0,43.29999923706055,27.200000762939453,56,0.699999988079071,0.7389999896287918
20495,759.0,28.299999237060547,27.399999618530273,80,0.0,0.0
20496,520.0,31.200000762939453,27.899999618530273,80,0.0,0.0
20497,786.0,28.399999618530273,27.399999618530273,80,0.0,0.0
20498,711.0,26.600000381469727,27.399999618530273,80,0.0,0.0
20499,911.0,28.0,27.200000762939453,183,1.0,1.0
20500,708.0,44.900001525878906,25.600000381469727,56,0.0,0.0
20501,758.0,34.900001525878906,26.5,56,0.30000001192092896,0.30200001180171965
20502,590.0,35.79999923706055,27.700000762939453,80,0.0,0.0
20503,633.0,31.200000762939453,25.799999237060547,183,0.0,0.0
20504,1245.0,28.899999618530273,28.799999237060547,56,0.0,0.01
20505,582.0,29.700000762939453,28.399999618530273,80,0.0,0.0
20506,821.0,24.200000762939453,26.0,56,0.0,0.0
20507,771.0,25.799999237060547,27.399999618530273,80,0.0,0.0
20508,771.0,39.20000076293945,23.700000762939453,56,0.0,0.0
20509,630.0,24.200000762939453,27.799999237060547,80,0.5,0.5
20510,611.0,44.29999923706055,25.600000381469727,56,0.0,0.0
20511,781.0,28.700000762939453,27.799999237060547,80,0.0,0.0
20512,662.0,40.099998474121094,27.100000381469727,183,0.699999988079071,0.699999988079071
20513,877.0,25.799999237060547,27.5,80,0.0,0.0
20514,671.0,39.20000076293945,26.600000381469727,183,0.30000001192092896,0.30000001192092896
20515,606.0,27.100000381469727,27.899999618530273,56,0.30000001192092896,0.30000001192092896
20516,665.0,27.200000762939453,27.600000381469727,183,0.0,0.0
20517,582.0,29.799999237060547,28.5,80,0.0,0.0
20518,701.0,35.20000076293945,27.200000762939453,80,0.0,0.0
20519,910.0,41.29999923706055,26.899999618530273,56,1.0,0.99
20520,770.0,22.899999618530273,27.0,183,0.0,0.02
20521,545.0,37.70000076293945,27.799999237060547,80,0.0,0.0
20522,1035.0,34.5,26.799999237060547,56,1.0,1.0
20523,934.0,33.70000076293945,27.5,183,0.0,0.0
20524,656.0,28.5,27.200000762939453,80,0.5,0.475
20525,946.0,45.79999923706055,25.700000762939453,56,1.0,0.699999988079071
20526,1084.0,26.399999618530273,27.700000762939453,80,0.0,0.0
20527,1377.0,31.5,27.600000381469727,80,0.0,0.0
20528,781.0,28.700000762939453,27.700000762939453,183,0.5,0.5
20529,1247.0,28.799999237060547,28.700000762939453,56,0.0,0.0
20530,934.0,33.400001525878906,27.399999618530273,183,0.0,0.0
20531,880.0,26.100000381469727,27.700000762939453,80,0.0,0.0
20532,628.0,28.100000381469727,27.5,80,0.0,0.0
20533,600.0,20.399999618530273,26.399999618530273,80,0.30000001192092896,0.5
20534,517.0,22.0,25.899999618530273,56,0.5,0.5
20535,656.0,40.400001525878906,26.899999618530273,183,1.0,1.0
20536,622.0,24.399999618530273,27.399999618530273,183,0.0,0.0
20537,853.0,29.0,27.200000762939453,183,0.5,0.5
20538,1083.0,26.399999618530273,27.700000762939453,80,0.0,0.0
20539,710.0,26.600000381469727,27.399999618530273,80,0.0,0.0
20540,622.0,35.599998474121094,27.600000381469727,80,0.0,0.0
20541,615.0,24.399999618530273,27.399999618530273,183,0.0,0.0
20542,920.0,23.700000762939453,26.899999618530273,56,0.5,0.5399999976158142
20543,1146.0,26.700000762939453,27.399999618530273,80,0.0,0.0
20544,625.0,38.400001525878906,26.0,183,1.0,1.0
20545,519.0,31.399999618530273,25.799999237060547,56,0.0,0.0
20546,577.0,30.200000762939453,25.399999618530273,56,0.0,0.0
20547,961.0,26.200000762939453,27.700000762939453,80,0.0,0.0
20548,897.0,23.700000762939453,27.5,56,0.5,0.51
20549,1014.0,29.200000762939453,27.299999237060547,183,0.0,0.0
