,_time,_measurement,co2,humidity,temperature,day_name,seat_num,y
0,2023-12-06 15:07:11.422564,1CEE,790.0,28.6,27.8,Wednesday,183,0.5
1,2023-12-06 15:07:43.766558,1CEE,792.0,28.6,27.8,Wednesday,183,0.5
2,2023-12-06 15:08:16.081131,1CEE,794.0,28.6,27.8,Wednesday,183,0.5
3,2023-12-06 15:08:48.423390,1CEE,793.0,28.6,27.8,Wednesday,183,0.5
4,2023-12-06 15:09:21.103568,1CEE,794.0,28.6,27.8,Wednesday,183,0.5
5,2023-12-06 15:09:53.006609,1CEE,793.0,28.6,27.8,Wednesday,183,0.5
6,2023-12-06 15:10:25.285452,1CEE,793.0,28.6,27.8,Wednesday,183,0.5
7,2023-12-06 15:10:58.574616,1CEE,795.0,28.6,27.8,Wednesday,183,0.5
8,2023-12-06 15:11:29.873176,1CEE,796.0,28.6,27.8,Wednesday,183,0.5
9,2023-12-06 15:12:02.222950,1CEE,795.0,28.6,27.8,Wednesday,183,0.5
10,2023-12-06 15:12:34.641796,1CEE,795.0,28.6,27.8,Wednesday,183,0.5
11,2023-12-06 15:13:06.934834,1CEE,793.0,28.6,27.8,Wednesday,183,0.5
12,2023-12-06 15:13:39.133966,1CEE,791.0,28.6,27.8,Wednesday,183,0.5
13,2023-12-06 15:14:11.411281,1CEE,791.0,28.6,27.8,Wednesday,183,0.5
14,2023-12-06 15:14:43.819440,1CEE,792.0,28.6,27.8,Wednesday,183,0.5
15,2023-12-06 15:15:15.992580,1CEE,792.0,28.6,27.8,Wednesday,183,0.5
16,2023-12-06 15:15:48.341381,1CEE,791.0,28.6,27.8,Wednesday,183,0.5
17,2023-12-06 15:16:20.643791,1CEE,792.0,28.6,27.8,Wednesday,183,0.5
18,2023-12-06 15:16:53.061591,1CEE,792.0,28.6,27.8,Wednesday,183,0.5
19,2023-12-06 15:17:25.232777,1CEE,791.0,28.6,27.8,Wednesday,183,0.5
20,2023-12-06 15:17:57.593732,1CEE,791.0,28.5,27.8,Wednesday,183,0.5
